first name,chinese, gender,pinyin
Aaron,艾伦,m,ài lún
Aaron,阿隆,m,ā lóng
Abbott,艾布特,m,ài bù tè
Abel,亚伯,m,yà bó
Abie,阿碧,f,ā bì
Abigail,艾比盖,f,ài bǐ gài
Abigail,阿比盖尔,m,ā bǐ gài ěr
Abner,艾伯纳,m,ài bó nà
Abraham,亚伯拉罕,m,yà bó lā hǎn
Achille,阿希尔,m,ā xī ěr
Ada,埃达,f,āi dá
Adair,亚岱尔,m,yà dài ěr
Adam,亚当,m,yà dāng
Adela,爱得拉,f,ài dé lā
Adelaide,爱得莱德,f,ài dé lái dé
Adolph,阿道夫,m,ā dào fū
Adonis,亚度尼斯,m,yà dù ní sī
Adrian,阿德里安,m,ā dé lǐ ān
Adriana,阿德里亚娜,f,ā dé lǐ yà nà
Adrien,阿德里安,m,ā dé lǐ ān
Afra,阿芙拉,f,ā fú lā
Agatha,阿加莎,f,ā jiā shā
Agnes,爱葛妮丝,f,ài gé nī sī
Aki,阿基,m,ā jī
Alan,艾伦,m,ài lún
Alan,阿兰,m,ā lán
Alanis,阿拉尼斯,f,ā lā ní sī
Alban,阿尔本,m,ā ěr běn
Albert,艾伯特,m,ài bó tè
Albert,阿尔伯特,m,ā ěr bó tè
Alberta,爱尔柏塔,f,ài ěr bǎi tǎ
Aldrich,奥德里奇,m,ào dé lǐ qí
Alec,阿雷克,m,ā léi kè
Alex,阿列克斯,m,ā liè kè sī
Alexander,亚历山大,m,yà lì shān dà
Alexandra,亚历山德拉,f,yà lì shān dé lā
Alexandre,亚历山大,m,yà lì shān dà
Alexia,亚莉克希亚,f,yà lì kè xī yà
Alfonso,阿方索,m,ā fāng suǒ
Alfred,亚尔弗列得,m,yà ěr fú liè dé
Alfred,阿尔弗雷德,m,ā ěr fú léi dé
Alger,阿杰尔,m,ā jié ěr
Alice,爱丽丝,f,ài lì sī
Alice,艾丽斯,f,ài lì sī
Alicia,艾莉西亚,f,ài lì xī yà
Alison,阿莉森,f,ā lì sēn
Allan,阿兰,m,ā lán
Allen,艾伦,m,ài lún
Allen,阿伦,m,ā lún
Allison,埃里森,m,āi lǐ sēn
Alma,爱玛,f,ài mǎ
Alston,奥斯顿,m,ào sī dùn
Alva,阿尔娃,f,ā ěr wá
Alva,阿尔瓦,m,ā ěr wǎ
Alvin,阿尔文,m,ā ěr wén
Alvis,亚尔维斯,m,yà ěr wéi sī
Alyssa,艾莉莎,f,ài lì shā
Amadeo,阿马德奥,m,ā mǎ dé ào
Amanda,阿曼达,f,ā màn dá
Amedeo,阿米地奥,m,ā mǐ de ào
Amelia,阿梅丽娅,f,ā méi lì yà
Amelia,阿蜜莉雅,f,ā mì lì yǎ
Amos,亚摩斯,m,yà mó sī
Amy,艾咪,f,ài mī
Amy,艾美,f,ài měi
Anastasia,安娜塔西雅,f,ān nà tǎ xī yǎ
Anastasia,阿娜丝塔西亚,f,ā nà sī tǎ xī yà
Andelin,安德林,m,ān dé lín
Andre,安得烈,m,ān dé liè
Andre,安德烈,m,ān dé liè
Andrea,安德丽娅,f,ān dé lì yà
Andrea,安德烈亚,f,ān dé liè yà
Andrew,安德鲁,m,ān dé lǔ
Andy,安迪,m,ān dí
Angela,安杰拉,f,ān jié lā
Angelina,安吉丽娜,f,ān jí lì nà
Angelo,安其罗,m,ān qí luō
Angie,安吉,f,ān jí
Ann,安,f,ān
Ann,安妮,f,ān nī
Anna,安娜,f,ān nà
Annabelle,安纳贝尔,f,ān nà bèi ěr
Anne,安,f,ān
Annette,安妮特,f,ān nī tè
Annie,安妮,f,ān nī
Ansel,安西尔,m,ān xī ěr
Anthony,安东尼,m,ān dōng ní
Antonia,安东妮儿,f,ān dōng nī ér
Antonio,安东尼奥,m,ān dōng ní ào
Antony,安东尼,m,ān dōng ní
Apollon,阿波罗,m,ā bō luō
April,艾普尔,f,ài pǔ ěr
April,艾谱莉,f,ài pǔ lì
Archer,阿奇尔,m,ā qí ěr
Archibald,阿奇柏德,m,ā qí bǎi dé
Ariana,艾丽安娜,f,ài lì ān nà
Ariel,亚列,m,yà liè
Aries,亚力士,m,yà lì shì
Aris,阿里斯,m,ā lǐ sī
Arlen,亚尔林,m,yà ěr lín
Arlene,艾琳娜,f,ài lín nà
Armand,亚尔曼,m,yà ěr màn
Armstrong,阿姆斯壮,m,ā mǔ sī zhuàng
Arno,阿诺,m,ā nuò
Arnold,阿尔诺德,m,ā ěr nuò dé
Arthur,亚瑟,m,yà sè
Arthur,阿瑟,m,ā sè
Arvin,艾文,m,ài wén
Asa,亚撒,m,yà sā
Ashley,艾什莉,f,ài shén lì
Astrid,艾丝翠得,f,ài sī cuì dé
Athena,阿西娜,f,ā xī nà
Atwood,亚特伍德,m,yà tè wǔ dé
Aubrey,奥布里,m,ào bù lǐ
Audrey,奥德丽,f,ào dé lì
Audrey,奥黛丽,f,ào dài lì
Augus,安格斯,m,ān gé sī
