English,Chinese_O1,Pinyin_O1,Chinese_O2,Pinyin_O2
Golrokh,格拉克,Gélākè,戈拉,Gēlā
Anastasia,安娜塔西娅,ānnàtǎxīyà,阿纳斯塔西娅,ānàsītǎxīyà
Benjamin,本杰明,běnjiémíng,本杰明,běnjiémíng
Krystal,克里斯托,kèlǐsītuō,克里斯托,kèlǐsītuō
Alice,爱丽丝,àilìsī,爱丽丝,àilìsī
Greses,格雷西斯,géléixīsī,格雷西斯,géléixīsī
Krishna,克里诗娜,kèlǐshīnà,克里希纳,kèlǐxīnà
Jake,杰克,jiékè,杰克,jiékè
Siena,西娅娜,xīyànà,锡耶纳,xīyénà
Mateo,马帝奥,mǎdìào,马特奥,mǎtèào
Yatharth,亚瑟斯,yàsèsī,亚萨斯,yàsàsī
Aiden,艾登,àidēng,艾登,àidēng
Jocelyn,乔瑟琳,qiáosèlín,乔斯林,qiáosīlín
Mehran,米兰,mǐlán,米兰,mǐlán
Jenny,珍妮,zhēnnī,珍妮,zhēnnī
Olen,奥伦,àolún,奥仑,àolún
Thariq,塔里克,tǎlǐkè,塔里克,tǎlǐkè
Timothy,蒂莫西,dìmòxī,蒂莫西,dìmòxī
Julia,朱莉亚,zhūlìyà,茱莉亚,zhūlìyà
Abhishek,阿比西亚克,ābǐxīyàkè,阿比西克,ābǐxīkè
Mary,玛丽,mǎlì,玛丽,mǎlì
Sanja,桑雅,sāngyǎ,桑亚,sāngyà
Irvin,艾尔文,àiěrwén,欧文,ōuwén
Carly,卡莉,kǎlì,卡莉,kǎlì
Valerio,瓦莱里奥,wǎláilǐào,瓦莱里奥,wǎláilǐào
Kenneth,肯尼希,kěnníxī,肯尼斯,kěnnísī
Marty,马蒂,mǎdì,马蒂,mǎdì
Judith,朱迪斯,zhūdísī,朱迪思,zhūdísī
Murali,穆拉利,mùlālì,穆拉利,mùlālì
Robert,罗伯特,luōbótè,罗伯特,luōbótè
